respondent_id,age,gender,district,years_in_area,visits_garden,belonging_1to5,knows_neighbours_1to5
R001,39,F,South,20,weekly,1,5
R002,25,M,West,1,monthly,1,1
R003,46,M,North,7,weekly,5,4
R004,22,Other,North,30,monthly,5,1
R005,55,Other,South,1,monthly,1,5
R006,73,F,South,13,monthly,5,1
R007,55,M,West,26,monthly,1,5
R008,55,Other,North,11,weekly,5,1
R009,55,F,West,6,never,5,4
R010,68,M,South,18,never,3,3
R011,34,F,West,24,monthly,1,5
R012,38,Other,South,28,rarely,4,3
R013,57,F,North,16,never,2,3
R014,28,M,South,1,weekly,5,5
R015,69,M,South,22,rarely,5,4
R016,56,M,North,26,weekly,3,4
R017,63,Other,North,1,rarely,5,4
R018,37,Other,South,28,rarely,1,4
R019,41,F,West,3,never,1,2
R020,68,M,North,23,monthly,4,4
R021,77,M,North,5,never,4,5
R022,36,F,South,27,rarely,4,3
R023,62,M,North,4,weekly,2,2
R024,33,Other,North,0,never,5,2
R025,35,M,North,4,never,5,3
R026,58,Other,South,30,monthly,5,5
R027,60,Other,West,1,never,5,4
R028,44,M,South,3,never,4,1
R029,31,F,North,14,monthly,1,3
R030,57,F,North,0,monthly,5,1
R031,42,Other,North,2,monthly,5,4
R032,28,Other,South,30,rarely,5,3
R033,49,F,North,27,never,4,4
R034,49,M,North,4,weekly,3,3
R035,49,Other,North,16,weekly,2,5
R036,42,F,West,17,weekly,5,3
R037,60,F,West,27,rarely,5,3
R038,77,F,South,24,monthly,5,5
R039,68,Other,South,20,monthly,5,2
R040,70,F,South,23,monthly,2,5
